2026-09-17T18:38:27: INFO:     127.0.0.1:57434 - "GET /docs HTTP/1.1" 200 OK
2026-09-17T18:48:20: INFO:     2.28.59.223:58938 - "GET /docs HTTP/1.1" 200 OK
2026-09-17T18:51:07: INFO:     99.178.168.250:54129 - "OPTIONS /api/get-or-create-name HTTP/1.1" 200 OK
2026-09-17T18:51:07: INFO:     99.178.168.250:54129 - "POST /api/get-or-create-name HTTP/1.1" 200 OK
2026-09-17T18:51:07: INFO:     99.178.168.250:54129 - "OPTIONS /api/get-user-images HTTP/1.1" 200 OK
2026-09-17T18:51:07: INFO:     99.178.168.250:51937 - "OPTIONS /api/get-user-analyses HTTP/1.1" 200 OK
2026-09-17T18:51:07: INFO:     99.178.168.250:52823 - "OPTIONS /api/get-user-analyses HTTP/1.1" 200 OK
2026-09-17T18:51:07: INFO:     99.178.168.250:51937 - "OPTIONS /api/get-user-images HTTP/1.1" 200 OK
2026-09-17T18:51:07: INFO:     99.178.168.250:62107 - "POST /api/get-user-analyses HTTP/1.1" 200 OK
2026-09-17T18:51:07: INFO:     99.178.168.250:54129 - "POST /api/get-user-images HTTP/1.1" 200 OK
2026-09-17T18:51:07: INFO:     99.178.168.250:61666 - "POST /api/get-user-analyses HTTP/1.1" 200 OK
2026-09-17T18:51:07: INFO:     99.178.168.250:52823 - "POST /api/get-user-images HTTP/1.1" 200 OK
2026-09-17T18:51:07: INFO:     99.178.168.250:54129 - "GET /output/files HTTP/1.1" 200 OK
2026-09-17T18:51:08: INFO:     99.178.168.250:54129 - "GET /output/files HTTP/1.1" 200 OK
2026-09-17T18:51:08: INFO:     99.178.168.250:54488 - "GET /output/file/masked_SamplePackingLine.png HTTP/1.1" 200 OK
2026-09-17T18:51:08: INFO:     99.178.168.250:49353 - "GET /output/file/masked_SampleTopBin.png HTTP/1.1" 200 OK
2026-09-17T18:51:14: INFO:     99.178.168.250:54840 - "POST /api/get-user-analyses HTTP/1.1" 200 OK
2026-09-17T18:51:22: INFO:     99.178.168.250:53009 - "OPTIONS /api/add-image-match HTTP/1.1" 200 OK
2026-09-17T18:51:22: INFO:     99.178.168.250:53009 - "POST /api/add-image-match HTTP/1.1" 200 OK
2026-09-17T18:51:22: INFO:     99.178.168.250:53009 - "GET /output/csv/combined_analysis_with_grades.csv HTTP/1.1" 200 OK
2026-09-17T18:51:22: INFO:     99.178.168.250:53009 - "POST /api/get-user-images HTTP/1.1" 200 OK
2026-09-17T18:51:23: INFO:     99.178.168.250:53009 - "OPTIONS /api/add-analysis HTTP/1.1" 200 OK
2026-09-17T18:51:23: INFO:     99.178.168.250:63111 - "POST /api/add-analysis HTTP/1.1" 200 OK
2026-09-17T18:51:23: INFO:     99.178.168.250:63111 - "POST /api/add-analysis HTTP/1.1" 200 OK
2026-09-17T18:51:23: INFO:     99.178.168.250:63111 - "POST /api/add-analysis HTTP/1.1" 200 OK
2026-09-17T18:51:23: INFO:     99.178.168.250:63111 - "POST /api/add-analysis HTTP/1.1" 200 OK
2026-09-17T18:51:23: INFO:     99.178.168.250:63111 - "POST /api/add-analysis HTTP/1.1" 200 OK
2026-09-17T18:51:23: INFO:     99.178.168.250:63111 - "POST /api/add-analysis HTTP/1.1" 200 OK
2026-09-17T18:51:23: INFO:     99.178.168.250:63111 - "POST /api/add-analysis HTTP/1.1" 200 OK
2026-09-17T18:51:24: INFO:     99.178.168.250:63111 - "POST /api/add-analysis HTTP/1.1" 200 OK
2026-09-17T18:51:24: INFO:     99.178.168.250:63111 - "POST /api/add-analysis HTTP/1.1" 200 OK
